	Vibrio_ASV1	Halomonas_ASV1	Vibrio_ASV2	Psychrobium_ASV1	Pseudoalteromonas_ASV1	Vibrio_ASV3	Ruegeria_ASV1	Halodesulfovibrio_ASV1	Vibrio_ASV4	Thalassobius_ASV1	Endozoicomonas_ASV1	Nautella_ASV1	Photobacterium_ASV1	Pseudoalteromonas_ASV2	Endozoicomonas_ASV2	Roseibacillus_ASV1	Halomonas_ASV2	Endozoicomonas_ASV3	Renibacterium_ASV1	Enhydrobacter_ASV1
BS2-1566-DD-A	0	0	0	0	0	0	0	0	0	0	0.003378864	0	0	0	0.024658519	0.024802301	0.001294033	0.018907261	0.070381021	0.073687994
BS2-1566-HD-A	0.006464504	0.001880583	0.020627645	0	0	0.018982134	0.011459803	0.002762106	0.016690174	0	0.003408557	0	0.003349788	0	0.007287259	0	0.001351669	0.003114716	0.022038082	0.003702398
BS2-1689-DD-A	0	0.000726744	0.147055585	0	0	0.051775018	0.000825846	0.127818887	0.159002819	0	0.004052149	0	0.000671688	0	0.003468552	0.076594433	0.000550564	0.002400458	0.00207012	0
BS2-1689-HD-A	0.004132231	0.005867769	0.023471074	0.000743802	0	0.019669421	0	0.010495868	0	0	0.019834711	0	0.022727273	0.006033058	0.003305785	0	0	0.01231405	0.002644628	0.026942149
BS2-1842-DD-A	0	0	0.05950962	0	0	0.034139281	0.028435212	0.032010897	0.035586583	0.030137919	0.003745956	0.012770305	0.011493274	0.007236506	0	0.017537885	0	0	0.00936489	0.001362166
BS2-1842-HD-A	0.004117295	0.001292639	0.053285458	0	0	0.357701975	0.046487133	0.000167564	0	0.000861759	0.001196888	0	0.008928785	0	0	0	0	0	0.00225015	0.001196888
BS2-1925-DD-A	0	0.00550956	0.1276431	0	0	0.094049675	0.00148907	0.068943951	0.173059741	0	0.194502353	0	0.003246173	0	0.001965573	0.011376497	0.000893442	0	0.012389064	0.000893442
BS2-1925-HD-A	0	0	0.070216049	0	0	0.097993827	0	0	0	0	0	0	0	0	0.064814815	0.00308642	0.015432099	0.029320988	0.05632716	0
BS2-2006-DD-A	0	0.000582004	0.004743336	0	0	0.000931207	0.117026539	0.003259225	0.003128274	0	0.002328018	0.000916657	0.000378303	0.000829356	0	0.00126586	0.000567454	0	0	0
BS2-2006-HD-A	0	0.004766769	0.037793667	0	0	0.038474634	0	0.010214505	0.022131427	0	0.026217228	0	0.012938372	0	0	0	0	0.014300306	0.034048349	0
BS2-2019-DD-A	0	0	0.016406345	0	0	0.03432619	0.010291803	0.031601889	0	0	0.018706865	0.006538322	0.005872382	0.00108972	0.03747427	0.00054486	0	0.03414457	0.042862332	0.03692941
BS2-2019-HD-A	0	0.003924031	0.041594726	0	0	0.039711191	0	0.034374509	0.059017423	0	0.01396955	0	0.002354418	0	0.040966881	0.009260713	0.004865798	0	0.003139225	0
BS2-2048-DD-A	0.00205112	0.001420006	0	0	0	0.006311139	0.056169139	0.007652256	0	0	0.001972231	0.052776901	0.002682234	0.001420006	0	0.004496687	0.001420006	0	0.004338908	0.000473335
BS2-2048-HD-A	0.009914078	0.008592201	0.121943159	0	0	0.039325843	0	0.021810972	0.048578982	0	0.113681428	0	0	0	0	0.010905486	0	0	0.010905486	0
BS2-2076-DD-A	0	0.002700644	0.131916072	0.000553978	0	0.037670521	0.024652032	0.01197978	0.128592203	0	0.036978049	0.010871823	0	0	0.017311821	0.005955266	0.001800429	0	0.013226231	0.022228378
BS2-2076-HD-A	0	0.001357364	0.038684865	0	0	0.030239047	0	0.036950456	0.048638866	0	0.035216047	0	0	0.044491366	0	0.053163412	0	0	0.080461504	0.010331046
BS2-2078-DD-A	0	0.001215251	0.094257937	0	0	0.057648489	0.0082789	0.121297281	0.13876652	0	0.093726265	0.001974784	0	0.021494759	0	0.015494455	0	0	0.012152514	0
BS2-2078-HH-A	0	0.044107351	0.048954313	0	0	0.052634413	0.002261915	0.060030518	0.073332735	0	0.083870389	0	0	0.036154744	0	0.033372229	0.065110852	0	0.014163899	0.00084373
BS2-2079-DD-A	0	0.030039337	0.044582191	0	0.001370843	0.062343545	0	0.060436286	0.087316724	0	0.061151508	0	0.003158899	0.019311003	0	0	0.133925378	0	0.013529622	0.008165455
BS2-2079-HD-A	0.014289997	0.023383631	0.107724593	0	0	0.0405716	0	0.017387829	0.064155091	0.004796642	0.358748876	0.005096432	0.009793145	0.012591186	0	0.017287898	0	0.001199161	0.016188668	0
BS2-2091-DD-A	0	0.001046274	0.079088791	0	0	0.029961478	0	0.082798307	0.093879298	0	0.090835592	0	0	0	0	0.049555334	0	0	0.03172112	0.000618253
BS2-2091-HD-A	0	0	0.043462814	0	0	0.033692563	0	0.101196116	0.051575083	0	0.073069635	0	0	0	0	0.059864993	0.000947418	0.010658456	0.028955471	0.002013264
BS2-2149-DD-A	0.0027894	0.001715104	0.043989596	0	0	0.030117984	0.017942629	0.042877606	0.065682838	0.001036601	0.018319575	0.016246372	0.011044517	0.012062271	0	0.031965019	0	0	0.00446681	0.000942365
BS2-2149-HD-A	0.005398773	0.002103418	0.150429448	0	0	0.09595092	0	0.075547765	0.131568799	0	0.005994741	0.005013146	0.000841367	0	0.007081507	0.084978089	0.001577564	0	0.002103418	0
BS2-2155-DD-A	0	0	0.006378709	0	0	0.005846422	0.086369983	0.012129145	0.003237347	0.006841187	0.018507853	0.011701571	9.60E-05	0.000802792	0.001701571	0.012801047	0.000287958	0	0.002434555	0.001561955
BS2-2155-HD-A	0	0	0.124810054	0	0	0.059468561	0	0.206456117	0.171711364	0	0.007926404	0	0	0	0.003244486	0.072446507	0.000903528	0.003408764	0.009610251	0
BS2-2179-DD-A	0.000106054	0.000650159	0.001014433	0.000106054	0	0.000461106	0.145294416	0.003278462	0	0.001157375	0.001240374	0.004007009	0.00021672	0	0.00047955	0.028643888	0.000488772	0	0.000516438	0
BS2-2179-HD-A	0	0	0.164612268	0	0	0.049485828	0.000351937	0.157427595	0.153891054	0	0.017493863	0	0	0.00317602	0	0.075906883	0.000901303	0	0.004420677	0.001691016
BS2-2180-DD-A	0	0.001153593	0.034640738	0	0	0.124324324	0.105735003	0.026137113	0.018885959	0.000362558	0.034937376	0.009096902	0.00154911	0.004812129	0.031443639	0.007152274	0.000988794	0.025642716	0.004284773	0.000329598
BS2-2180-HD-A	0	0.000599449	0.064644527	0	0	0.024457499	0	0.02026136	0.04901091	0	0.575710346	0.011125764	0	0.004124206	0.000791272	0.007001559	0	0	0.001894257	0
BS2-2198-DD-A	0	0	0.091260841	0	0	0.013275517	0.017678452	0.037958639	0.09533022	0.007204803	0.096664443	0.001200801	0	0	0.023148766	0.029286191	0.000800534	0	0.027618412	0.000667111
BS2-2198-HD-A	0	0	0.152881316	0	0	0	0	0.077268962	0	0	0	0	0	0	0	0	0.001893267	0	0.101999763	0.014317832
BS2-2415-DD-A	0	0.005580019	0.095969612	0	0	0.025647921	0.020706578	0.055060674	0.104541329	0.002184947	0.012571851	0.014924871	0	0.012336549	0	0.028606004	0	0	0.007025446	0
BS2-2415-HD-A	0	0.018767527	0.068886172	0	0	0.06263033	0	0.089595168	0.155173654	0	0.2306752	0.004673905	0	0	0	0.00381103	0	0.011217373	0.025814338	0.003954843
BS2-2433-DD-A	0	0	0.029861536	0	0	0.017182895	0.058944559	0.030334205	0.075571373	0	0.034699438	0.012650837	0.000806317	0.004059389	0.002418951	0.019935495	0.003197464	0	0.003864761	0
BS2-2433-HD-A	0.033916436	0	0.021205638	0	0	0.018877423	0.032280393	0.127045054	0	0	0	0	0.006670023	0	0.006921722	0	0.000503398	0.018940347	0.020198842	0.005159829
