	Other_n=716	Roseibacillus_ASV1	Enhydrobacter_ASV1	Halomonas_ASV2	Halomonas_ASV1	Endozoicomonas_ASV3	Endozoicomonas_ASV2	Endozoicomonas_ASV1	Vibrio_ASV4	Vibrio_ASV3	Vibrio_ASV2	Vibrio_ASV1	Photobacterium_ASV1	Psychrobium_ASV1	Pseudoalteromonas_ASV2	Pseudoalteromonas_ASV1	Thalassobius_ASV1	Ruegeria_ASV1	Nautella_ASV1	Halodesulfovibrio_ASV1	Renibacterium_ASV1
BS2-2019-DD-A	0.723211042	0.00054486	0.03692941	0	0	0.03414457	0.03747427	0.018706865	0	0.03432619	0.016406345	0	0.005872382	0	0.00108972	0	0	0.010291803	0.006538322	0.031601889	0.042862332
BS2-2019-HD-A	0.746821535	0.009260713	0	0.004865798	0.003924031	0	0.040966881	0.01396955	0.059017423	0.039711191	0.041594726	0	0.002354418	0	0	0	0	0	0	0.034374509	0.003139225
BS2-2048-DD-A	0.85681603	0.004496687	0.000473335	0.001420006	0.001420006	0	0	0.001972231	0	0.006311139	0	0.00205112	0.002682234	0	0.001420006	0	0	0.056169139	0.052776901	0.007652256	0.004338908
BS2-2048-HD-A	0.614342366	0.010905486	0	0	0.008592201	0	0	0.113681428	0.048578982	0.039325843	0.121943159	0.009914078	0	0	0	0	0	0	0	0.021810972	0.010905486
BS2-2076-DD-A	0.553562773	0.005955266	0.022228378	0.001800429	0.002700644	0	0.017311821	0.036978049	0.128592203	0.037670521	0.131916072	0	0	0.000553978	0	0	0	0.024652032	0.010871823	0.01197978	0.013226231
BS2-2076-HD-A	0.620466028	0.053163412	0.010331046	0	0.001357364	0	0	0.035216047	0.048638866	0.030239047	0.038684865	0	0	0	0.044491366	0	0	0	0	0.036950456	0.080461504
BS2-2078-DD-A	0.433692845	0.015494455	0	0	0.001215251	0	0	0.093726265	0.13876652	0.057648489	0.094257937	0	0	0	0.021494759	0	0	0.0082789	0.001974784	0.121297281	0.012152514
BS2-2078-HH-A	0.485162912	0.033372229	0.00084373	0.065110852	0.044107351	0	0	0.083870389	0.073332735	0.052634413	0.048954313	0	0	0	0.036154744	0	0	0.002261915	0	0.060030518	0.014163899
BS2-2079-DD-A	0.47466921	0	0.008165455	0.133925378	0.030039337	0	0	0.061151508	0.087316724	0.062343545	0.044582191	0	0.003158899	0	0.019311003	0.001370843	0	0	0	0.060436286	0.013529622
BS2-2079-HD-A	0.30678525	0.017287898	0	0	0.023383631	0.001199161	0	0.358748876	0.064155091	0.0405716	0.107724593	0.014289997	0.009793145	0	0.012591186	0	0.004796642	0	0.005096432	0.017387829	0.016188668
BS2-2091-DD-A	0.540495553	0.049555334	0.000618253	0	0.001046274	0	0	0.090835592	0.093879298	0.029961478	0.079088791	0	0	0	0	0	0	0	0	0.082798307	0.03172112
BS2-2091-HD-A	0.594564188	0.059864993	0.002013264	0.000947418	0	0.010658456	0	0.073069635	0.051575083	0.033692563	0.043462814	0	0	0	0	0	0	0	0	0.101196116	0.028955471
BS2-2149-DD-A	0.698801312	0.031965019	0.000942365	0	0.001715104	0	0	0.018319575	0.065682838	0.030117984	0.043989596	0.0027894	0.011044517	0	0.012062271	0	0.001036601	0.017942629	0.016246372	0.042877606	0.00446681
BS2-2149-HD-A	0.431411043	0.084978089	0	0.001577564	0.002103418	0	0.007081507	0.005994741	0.131568799	0.09595092	0.150429448	0.005398773	0.000841367	0	0	0	0	0	0.005013146	0.075547765	0.002103418
BS2-2155-DD-A	0.82930192	0.012801047	0.001561955	0.000287958	0	0	0.001701571	0.018507853	0.003237347	0.005846422	0.006378709	0	9.60E-05	0	0.000802792	0	0.006841187	0.086369983	0.011701571	0.012129145	0.002434555
BS2-2155-HD-A	0.340013964	0.072446507	0	0.000903528	0	0.003408764	0.003244486	0.007926404	0.171711364	0.059468561	0.124810054	0	0	0	0	0	0	0	0	0.206456117	0.009610251
BS2-2179-DD-A	0.812339189	0.028643888	0	0.000488772	0.000650159	0	0.00047955	0.001240374	0	0.000461106	0.001014433	0.000106054	0.00021672	0.000106054	0	0	0.001157375	0.145294416	0.004007009	0.003278462	0.000516438
BS2-2179-HD-A	0.370641556	0.075906883	0.001691016	0.000901303	0	0	0	0.017493863	0.153891054	0.049485828	0.164612268	0	0	0	0.00317602	0	0	0.000351937	0	0.157427595	0.004420677
BS2-2180-DD-A	0.568523401	0.007152274	0.000329598	0.000988794	0.001153593	0.025642716	0.031443639	0.034937376	0.018885959	0.124324324	0.034640738	0	0.00154911	0	0.004812129	0	0.000362558	0.105735003	0.009096902	0.026137113	0.004284773
BS2-2180-HD-A	0.240378851	0.007001559	0	0	0.000599449	0	0.000791272	0.575710346	0.04901091	0.024457499	0.064644527	0	0	0	0.004124206	0	0	0	0.011125764	0.02026136	0.001894257
BS2-2198-DD-A	0.55790527	0.029286191	0.000667111	0.000800534	0	0	0.023148766	0.096664443	0.09533022	0.013275517	0.091260841	0	0	0	0	0	0.007204803	0.017678452	0.001200801	0.037958639	0.027618412
BS2-2198-HD-A	0.651638859	0	0.014317832	0.001893267	0	0	0	0	0	0	0.152881316	0	0	0	0	0	0	0	0	0.077268962	0.101999763
BS2-2415-DD-A	0.614844196	0.028606004	0	0	0.005580019	0	0	0.012571851	0.104541329	0.025647921	0.095969612	0	0	0	0.012336549	0	0.002184947	0.020706578	0.014924871	0.055060674	0.007025446
BS2-2415-HD-A	0.32480046	0.00381103	0.003954843	0	0.018767527	0.011217373	0	0.2306752	0.155173654	0.06263033	0.068886172	0	0	0	0	0	0	0	0.004673905	0.089595168	0.025814338
BS2-2433-DD-A	0.70647278	0.019935495	0	0.003197464	0	0	0.002418951	0.034699438	0.075571373	0.017182895	0.029861536	0	0.000806317	0	0.004059389	0	0	0.058944559	0.012650837	0.030334205	0.003864761
BS2-2433-HD-A	0.708280896	0	0.005159829	0.000503398	0	0.018940347	0.006921722	0	0	0.018877423	0.021205638	0.033916436	0.006670023	0	0	0	0	0.032280393	0	0.127045054	0.020198842
BS2-2474-DD-A	0.803018407	0	0.000290791	0.002733432	0.006630027	0.003489488	0.006368315	0.001890139	0.0193085	0.012125971	0.02925354	0.019482974	0.030387624	0	0	0	0	0.056849574	0	0.007764111	0.000407107
BS2-2474-HD-A	0.346553352	0.066100094	0	0.017941454	0	0.233238905	0	0.074598678	0.027384325	0	0	0	0.033050047	0	0	0.015108593	0	0.014164306	0.072710104	0	0.099150142
BS2-2482-DD-A	0.558873357	0	0	0.000410539	0.001028946	0.000223458	0.000363769	0.000727537	0.000509276	0.020901107	0.030743647	0.005139531	0.002972509	0.356207452	0.000410539	0.000244245	0.013792028	0.000462506	0.006532245	0.000135114	0.000322195
BS2-2482-HD-A	0.444240554	0	0.000417049	0.003753441	0.003002753	0	0.005588456	0.005087997	0	0.128284261	0.12845108	0.16465093	0.022854283	0	0.011510551	0.075652682	0	0.002752523	0.001584786	0.002168655	0
BS2-2483-HD-A	0.560661765	0.036764706	0	0	0	0	0.023897059	0	0.073529412	0.055147059	0.069852941	0	0	0	0	0	0	0	0	0.055147059	0.125
BS2-1566-DD-O	0.7684273	0	0	0.051869436	0.056617211	0	0	0.00189911	0	0.020534125	0.014005935	0.024332344	0.03347181	0.001186944	0.011750742	0.00925816	0	0.006646884	0	0	0
BS2-1566-HD-O	0.152447464	0	0	0	0.679501699	0	0	0.001069586	0	0	0	0	0	0	0.090851894	0.056876809	0	0.019252548	0	0	0
BS2-1689-DD-O	0.211755233	0	0	0	0.004763822	0	0	0.003488996	0	0.038311863	0.008454106	0.015700483	0.683306495	0	0.016371444	0	0	0.006910896	0	0	0.010936661
BS2-1689-HD-O	0.160295931	0	0	0.066584464	0.556103576	0	0	0	0	0	0	0	0	0	0.155363748	0	0	0	0	0	0.061652281
BS2-1842-DD-O	0.711974808	0	0.023552756	0.001747045	0.02335864	0.001768614	0.004723492	0.000927444	0	0.01637046	0.011345009	0	0.005996031	0.121624536	0.024803727	0.039664395	0.001725477	0.004874472	0.004486239	0	0.001056854
BS2-1842-HD-O	0.230769231	0	0	0	0.148387097	0	0	0.006947891	0	0	0	0	0	0.249131514	0.027295285	0.145409429	0	0	0	0	0.192059553
BS2-1925-DD-O	0.466257669	0	0.000876424	0	0.225679229	0	0.004820333	0	0	0.042944785	0.056091148	0.078878177	0.007887818	0	0.023663453	0.065731814	0	0	0	0	0.02716915
BS2-1925-HD-O	0.397845468	0	0	0	0.001114413	0	0.069093611	0	0.132986627	0	0.16679049	0	0	0	0	0	0	0	0	0	0.232169391
BS2-2006-DD-O	0.483621474	0	0	0.08189263	0.137397634	0	0.025477707	0.036396724	0	0.018653321	0.019563239	0.033212011	0.032757052	0.021383076	0	0.090081893	0	0	0	0	0.019563239
BS2-2006-HD-O	0.569075938	0	0.000609942	0.031107045	0.122598353	0	0	0.007014334	0	0.043915828	0	0	0.066483684	0	0.021043001	0.09210125	0	0.007624276	0	0	0.038426349
BS2-2019-DD-O	0.210743802	0	0.000393546	0.088219861	0.185688049	0	0	0.007608553	0	0.023678342	0.064279155	0.172897809	0.044929818	0.006362325	0.022563295	0.14200446	0	0.010953693	0	0	0.019677292
BS2-2019-HD-O	0.86756011	0	0	0	0.006700828	0	0	0.012613323	0	0	0	0	0	0	0	0.006700828	0	0	0	0	0.106424911
BS2-2048-DD-O	0.316178411	0	0	0.123779361	0.146212721	0	0	0.02665611	0	0	0.030614938	0.107152283	0.036421219	0.034837688	0.052520454	0.106096595	0	0	0	0	0.019530219
BS2-2048-HD-O	0.424271381	0	0.012103838	0.01863354	0.162924032	0	0.008918618	0.02325211	0.016563147	0.021978022	0	0.027392897	0.028348463	0.065297022	0.053352445	0.134416308	0	0	0	0	0.002548176
BS2-2076-DD-O	0.710542701	0	0	0.000412966	0.000279546	0	0	0.000374846	0.0031576	0.050407248	0.069054245	0.044435126	0.045273765	0.001130891	0.008564277	0.009015362	0	0.057167181	0.000158833	2.54E-05	0
BS2-2076-HD-O	0.353747591	0	0	0.001628797	0.015636452	0	0	0.00209029	0.007519613	0.047479436	0.128865	0.205472758	0.168824823	0.017400983	0.038629639	0.010478595	0	0.001520211	0	0	0.000705812
BS2-2078-DD-O	0.752888889	0	0.034222222	0.041777778	0	0	0	0	0	0	0.032444444	0.032888889	0	0	0	0	0	0	0	0	0.105777778
BS2-2078-HD-O	0.018738121	0	0	0.054501164	0.33460931	0	0	0.003292556	0.000361378	0.002556415	0.001365206	0.000495222	0.001325053	0.002556415	0.114342693	0.43847204	0	0.024921701	0	0.000240919	0.002221806
BS2-2079-DD-O	0.859337405	0	0.0015732	0	0.0031464	0	0	0.000647788	0	0	0.025818989	0.023783083	0	0	0.022024801	0.010364612	0	0	0	0	0.05330372
BS2-2079-HD-O	0.059556006	0	0	0.0280595	0.59809556	0	0	0.001183232	0	0	0.001633987	0.007099391	0.001408609	0	0.116858238	0.152298851	0	0.005240027	0	0	0.028566599
BS2-2091-DD-O	0.184381306	0	0	0.000492644	0.001804781	0	0	0.000942654	0.004864855	0.02133999	0.192543083	0.571456993	0.015575114	0.000208426	0.003382187	0.001084763	0	0.001345296	0.000450011	5.68E-05	7.11E-05
BS2-2091-HD-O	0.012901145	0	0	0.298500242	0.446863409	0	0	0.003225286	0	0	0	0	0.009514594	0.011288502	0.040316078	0.155297533	0	0.018061603	0	0	0.004031608
BS2-2149-DD-O	0.484731525	0	0.065614712	0.019411965	0	0.080939948	0.020093087	0.002270405	0.030763991	0.016914519	0.037915768	0.048813713	0.055624929	0	0.065955273	0.039618572	0	0.019071404	0	0	0.012260188
BS2-2149-HD-O	0.363845322	0	0	0	0.036776636	0	0	0.008788534	0.007977285	0.075446187	0.067468902	0.304894538	0.06151974	0	0.030827474	0.032990806	0	0.006354786	0	0	0.003109789
BS2-2155-DD-O	0.671212313	0	0	0.008203307	0.060319675	0	0	0.00141655	0.00107827	0.031227536	0.021586536	0.021776819	0.094507167	0.003425092	0.016829464	0.048775847	0	0.019303142	0	0	0.000338281
BS2-2155-HD-O	0.475347661	0	0	0.013906448	0.031605563	0	0	0.037926675	0	0.124525917	0.114412137	0.097345133	0.030973451	0	0.041719343	0	0	0.012010114	0	0	0.02022756
BS2-2179-DD-O	0.299783467	0	0.017934021	0.121156541	0.248834543	0	0	0.004203286	0.005578907	0	0.017271685	0.001757738	0.001604891	0.023665775	0.049853522	0.184460578	0.003642848	0.010266208	0	0.001452044	0.008533945
BS2-2179-HD-O	0.534429099	0	0.000778059	0.0278156	0.125072943	0	0	0.002236919	0	0.04979576	0.000875316	0.0417234	0.091713674	0.053783311	0.025286909	0.036763276	0	0.003014978	0	0	0.006710757
BS2-2180-DD-O	0.387103378	0	0.01801433	0	0.254657114	0	0	0	0	0	0	0	0	0.006141249	0	0	0	0	0	0	0.33408393
BS2-2180-HD-O	0.245588937	0	0	0.051502146	0.189794945	0	0	0	0	0.048640916	0	0.077730091	0.071053887	0.008106819	0.11349547	0.118741059	0	0.062947067	0	0	0.012398665
BS2-2198-DD-O	0.572402938	0	0.100734523	0.110178384	0	0	0	0	0	0	0	0	0	0	0	0.018363064	0	0	0	0	0.198321091
BS2-2415-DD-O	0.44665322	0	0	0.000349777	0.003882522	0	0	0.001002693	0.004582075	0.24271007	0.10729984	0.114913314	0.047581294	0.009840385	0.003800907	0.000862783	0	0.016241299	0	0	0.000279821
BS2-2415-HD-O	0.019463872	0	0	0.041964308	0.341016004	0	0	0.003459691	0	0.001319163	0.001592951	0.002289867	0.005127312	0.007466959	0.124996889	0.432088011	0	0.013739204	0	0	0.00547577
BS2-2433-DD-O	0.890178736	0	0.007002027	0.004238069	0.008476138	0	0	0.001105583	0	0	0	0	0	0	0	0	0	0	0	0	0.088999447
BS2-2433-HD-O	0.175675676	0	0	0.011687363	0.353542732	0	0	0.002921841	0	0	0	0	0	0	0.050401753	0.321402484	0	0.018626735	0	0	0.065741417
BS2-2474-DD-O	0.034718826	0	0	0.085085575	0.274327628	0	0	0.002444988	0	0.012713936	0	0	0	0	0.306601467	0.26601467	0	0.01809291	0	0	0
BS2-2474-HD-O	0.606810166	0	0.000316542	0.007506557	0.313783124	0	0	0.00212535	0	0	0	0	0	0	0.031608936	0.023288415	0	0	0	0	0.014560912
BS2-2475-DD-O	0.660872371	0	0	0.000464278	0.000649202	0	0.000259681	0.000358045	0	0.00515034	0.001691861	0.001318078	0.001593497	0.287262254	0.001373162	0.000444605	0	0.038322618	2.36E-05	0	0.000216401
BS2-2475-HD-O	0.236623964	0	0.001255966	0.01582517	0.291886461	0	0.018337101	0.016076363	0	0.019341874	0.007535795	0.027882442	0.014066817	0	0.055011304	0.27279578	0	0	0	0	0.023360965
BS2-2479-DD-O	0.428377732	0	0.002286383	0.001276121	0.000611474	0	0	0.002100282	0.002924443	0.2139363	0.082070506	0.066331685	0.154835965	0.016908598	0.005609613	0.00614133	0	0.015260275	0	0	0.001329292
BS2-2479-HD-O	0.261221945	0	0	0.078553616	0.333541147	0	0	0.013092269	0	0.00436409	0	0.010598504	0	0.044679967	0.117830424	0.094763092	0	0.028886118	0	0	0.012468828
BS2-2482-DD-O	0.242977528	0	0.002587226	0.055070964	0.15819042	0	0	0.005470136	0	0.17090479	0.03710822	0.114429332	0.02542874	0.022324069	0.034742756	0.119677705	0	0.010053223	0	0.001034891	0
BS2-2482-HD-O	0.411074137	0	0.000608098	0.003395213	0.146500904	0	0	0.000793906	0.000929038	0.078613537	0.02060776	0.071299471	0	0.218611172	0.017280114	0.021671931	0.000320941	0.001013496	0.003175622	0	0.00410466
BS2-2483-DD-O	0.784577889	0	0	0	0.034933315	0.027824792	0	0.000541602	0	0	0	0	0.020276217	0	0.007954776	0.019565365	0	0.023525828	0.014115497	0	0.06668472
BS2-2483-HD-O	0.216726233	0.030450322	0.003145104	0.0154396	0.336240172	0	0	0.00200143	0	0	0.009721229	0	0.011436741	0.073766976	0.106361687	0.167834167	0	0.021872766	0	0	0.005003574
BS2-2500-DD-O	0.83389808	0	0.050627865	0.003189157	0.002890173	0.035512591	0.053817022	0.002491529	0	0.002690851	0.003820344	0	0.001561358	0.002757292	0.002956614	0	0	0.003787124	0	0	0
BS2-2500-HD-O	0.729307482	0	0.010524592	0.011577052	0.117875436	0	0	0.001379891	0.000935519	0	0	0.001216175	0	0	0.0217976	0.090721987	0	0.002572678	0	0	0.012091587
BS2-1566-DD-D	0.688856937	0	0	0.001869159	0.007620417	0.028324946	0.041840403	0.003666427	0	0.002803738	0.011933861	0.022142344	0.006398275	0	0.010208483	0.010999281	0.059309849	0.037167505	0.065923796	0	0.000934579
BS2-1566-HD-D	0.679705074	0	0.122302758	0	0.025535283	0	0.038157127	0	0	0	0	0	0	0	0	0	0.034074815	0.020161626	0.080063318	0	0
BS2-1689-DD-D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS2-1689-HD-D	0.805080353	0	0.03913945	0	0.092534992	0	0.024624158	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038621047
BS2-1842-HD-D	0.955006569	0	0.001151247	0.009250606	0.003237035	0.012866875	0.012785611	0	0	0	0	0.005702057	0	0	0	0	0	0	0	0	0
BS2-1925-HD-D	0.761959258	0	0.001449607	0	0.019760433	0	0	0	0	0	0	0	0	0	0	0	0.117418173	0.03479057	0.064621958	0	0
BS2-2006-DD-D	0.648782473	0	0.00115309	0.019602523	0.027538493	0.017567659	0.02204436	0	0	0.005765448	0.015125822	0.017160686	0.005561962	0.00115309	0.021637387	0.016685885	0.07576477	0.037441498	0.067014855	0	0
BS2-2006-HD-D	0.711581649	0	0.096727623	0	0	0.106512672	0	0	0	0	0.022778312	0	0	0	0	0	0	0	0.062399743	0	0
BS2-2019-HD-D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS2-2048-DD-D	0.616495609	0	0.002486509	0.00486721	0.009787324	0.029838112	0.06983388	0.002486509	0	0.007459528	0.005872394	0.00391493	0.002909745	0	0.014390012	0.01211512	0.10914189	0.00486721	0.101682362	0	0.001851656
BS2-2076-HD-D	0.5074191	0	0.000789266	0.012786109	0.034175217	0.032202052	0.054853986	0.002920284	0	0.012707182	0.026835043	0.026203631	0.006708761	0	0.012865036	0.022415154	0.110339384	0.013180742	0.116969219	0	0.006629834
BS2-2078-HD-D	0.800441826	0	0	0	0	0	0.018409426	0	0	0	0	0	0	0	0.025650466	0	0.114506627	0.013009327	0.027982327	0	0
BS2-2079-DD-D	0.556713673	0	0.022201426	0.002742909	0.013359579	0.040401433	0	0.055535835	0	0	0	0.003775533	0.009809933	0	0.013101423	0.009745394	0.128948982	0.016070218	0.127593662	0	0
BS2-2079-HD-D	0.459528362	0	0.001820996	0.021669853	0.040061914	0.034052627	0.045980151	0.005189839	0.001820996	0.015023218	0.028953838	0.053082036	0.009924429	0	0.014932168	0.027041792	0.115451152	0.00919603	0.113812255	0	0.002458345
BS2-2091-DD-D	0.576753426	0	0.005656756	0	0.004680292	0.047341661	0.057443012	0	0	0.001481531	0.008687161	0.004478265	0.002323311	0	0.013468467	0.00720563	0.147715411	0	0.118960234	0.003804842	0
BS2-2091-HD-D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS2-2149-HD-D	0.957059709	0	0.001851927	0	0.000274736	0	0	0	0	0	0	0	0	0	0.007906305	0.006491921	0.02039155	0	0.006023851	0	0
BS2-2155-DD-D	0.547949793	0	0	0.009951994	0.009648969	0.024991627	0.053906636	0.003987177	0	0.012870608	0.024911883	0.003381126	0	0	0.024449371	0.010908917	0.154351605	0.001722461	0.114719063	0	0.002248768
BS2-2155-HD-D	0.425509338	0	0	0.024405772	0.037988115	0.031196944	0.052207131	0.002334465	0	0.006791171	0.017190153	0.016341256	0	0	0.037351443	0.027164686	0.16426146	0.009762309	0.145373514	0	0.002122241
BS2-2180-DD-D	0.46631325	0	0	0.024520343	0.051863645	0.057542385	0.082620755	0.003036321	0.011062056	0.00173973	0.022156937	0.019711467	0	0	0.082505867	0.049943377	0.084852862	0.007451296	0.034679709	0	0
BS2-2180-HD-D	0.549488243	0	0.003319502	0.001051176	0.007081604	0.038174274	0.06395574	0.001493776	0	0.003762102	0.00813278	0.002544952	0.002323651	0	0.013886584	0.00769018	0.155242047	0.003319502	0.13604426	0	0.002489627
BS2-2415-HD-D	0.526175502	0	0	0.014914645	0.023959269	0.022072477	0.059748428	0.001227913	0	0.004941599	0.020125786	0.010841569	0.002515723	0	0.018209045	0.012878107	0.141269841	0.005810123	0.133273435	0.002036538	0
BS2-2433-HD-D	0.595206391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125332889	0	0.279460719	0	0
BS2-2474-DD-D	0.612099051	0.080268868	0.000241548	0.00043312	0.000458108	0.000741302	0.001007838	0	0.012743734	0.000916216	0.002423808	0.0014243	0.000458108	0	0.000533071	0.000641351	0.059020981	0.123356017	0.005414005	0.097701963	0.000116609
BS2-2474-HD-D	0.74984787	0	0	0	0.061054767	0.041024341	0.070791075	0	0	0	0.04143002	0	0	0	0	0	0.035243408	0	0.000608519	0	0
BS2-2475-DD-D	0.856278458	0	0.061737564	0	0	0	0	0	0.01277119	0	0	0	0	0	0	0	0.043451265	0.025761523	0	0	0
BS2-2475-HD-D	0.889751553	0	0	0	0	0	0.085523172	0	0	0	0	0	0.024725275	0	0	0	0	0	0	0	0
BS2-2479-DD-D	0.91021971	0	0	0	0	0	0	0	0	0	0.004503601	0.0093354	0.058200383	0	0.009444799	0	0.008296107	0	0	0	0
BS2-2479-HD-D	0.459028093	0	0.000259521	0.010510608	0.019269448	0.067735029	0.120936871	0.002400571	0	0.00447674	0.018490884	0.016090313	0.003049374	0	0.018490884	0.022253941	0.114838124	0.009407643	0.110491144	0	0.00227081
BS2-2483-DD-D	0.617425539	0	0	0.008729887	0.021225608	0.021567956	0.031838412	0.002567614	0	0.007189319	0.014720986	0.007874016	0.004450531	0	0.014549812	0.019513865	0.095857583	0.007874016	0.120335502	0	0.004279356
BS2-2500-DD-D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS2-2500-HD-D	0.527558921	0	0	0.001162175	0.012698467	0.007554135	0.05424621	0.001606536	0	0.010715934	0.019825332	0.015723539	0.002785801	0.002102169	0.008374494	0.005588693	0.188665379	0.001879988	0.130009742	0.00553742	0.003965066
BS2-2048-HD-D	0.852385857	0	0.081016135	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066598009	0	0	0	0
BS2-2179-HD-D	0.669282511	0	0.041479821	0	0	0	0	0	0	0	0	0	0	0	0	0.127802691	0.161434978	0	0	0	0
BS2-2198-HD-O	0.07230865	0	0.009956441	0.031611699	0.318357187	0	0	0.000995644	0	0	0.00497822	0	0.069570629	0.004231487	0.2293715	0.243559428	0	0.015059116	0	0	0
BS2-2433-DD-D	0.912152166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087847834	0	0	0
BS2-2483-HD-D	0.777022977	0	0.047952048	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116083916	0	0.058941059	0	0
